prior,val_roc_auc,val_pr_auc,val_brier,val_log_loss,val_acc,val_mean_std_p,val_p95_std_p
sigma_2.0,0.6512522249918063,0.44409600425764995,0.20478178818399584,0.5985794679760972,0.6632679738562092,0.22088336605469405,0.440890646729383
sigma_1.0,0.6512244497931541,0.4439044333048951,0.20481261273413134,0.5986336160095229,0.6624836601307189,0.2207043680740436,0.44091044121129946
sigma_5.0,0.651005422512354,0.44382680855612383,0.20481007755208724,0.598646714645221,0.6630065359477124,0.22096688292037162,0.4410616403896637
sigma_0.5,0.6506689458201104,0.4435974464099155,0.2048455426639717,0.5986460029727868,0.6627450980392157,0.2203825542154461,0.44071076163412815
